Year;Reported;Convicted
1995;392;236
1996;386;227
1997;448;268
1998;424;244
1999;500;294
2000;469;297
2001;462;279
2002;456;280
2003;438;285
2004;507;356
2005;428;311
2006;440;307
2007;415;298
2008;413;278
2009;403;273
2010;575;448
2011;534;397
2012;497;370
2013;462;317
2014;536;364
2015;548;314
2016;789;391
2017;815;445
2018;878;464
2019;854;495
2020;889;588
2021;878;529
2022;1023;653
2023;1039;687
2024;817;488
2025;913;545
