Year;Reported;Convicted
1995;440;270
1996;388;247
1997;435;284
1998;418;261
1999;477;282
2000;497;321
2001;493;304
2002;500;312
2003;472;300
2004;562;386
2005;475;321
2006;527;367
2007;566;387
2008;475;340
2009;431;297
2010;429;291
2011;410;306
2012;389;297
2013;367;274
2014;382;284
2015;480;327
2016;791;443
2017;944;536
2018;1079;615
2019;1094;646
2020;1144;735
2021;2147;1548
2022;1925;1209
2023;1732;1117
2024;1712;1110
2025;1957;1196
